Concept,2020 & After,Before 2020
beam_diameter,9,4
cocrfeni,502,54
gaussian_heat_source,4,0
grain_size,269,18
hea,1724,167
laser_power,403,42
melt_pool,93,4
porosity,221,19
scan_speed,120,17
thermal_cycle,13,6
thermal_gradient,184,17
