Concept,2020 & After,Before 2020
cocrfeni,502,54
elemental_partitioning,293,39
grain_size,269,18
microstructure_evolution,565,57
mole_fraction,613,120
multicomponent_diffusion,11,1
phase_field_model,2,2
phase_fraction,85,26
phase_stability,69,6
porosity,221,19
solidification,563,174
