Concept,2024 & After,Before 2024
cocrfeni,180,376
elemental_partitioning,140,192
grain_size,112,175
microstructure_evolution,301,321
mole_fraction,259,474
multicomponent_diffusion,8,4
phase_field_model,0,4
phase_fraction,36,75
phase_stability,41,34
porosity,103,137
solidification,237,500
