Concept,1961,1981,1982,1986,1987,1988,1989,1990,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
calphad,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,3,0,5,5,4,9,11,11,23,24,0
cocrfeni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,4,7,7,29,33,40,72,84,93,101,79,0
gibbs_free_energy,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,2,4,2,0
mole_fraction,1,0,0,1,0,1,0,1,1,1,0,4,1,2,1,1,3,3,0,0,4,1,1,5,2,1,3,5,4,3,10,4,12,12,12,20,32,44,85,82,111,130,129,0
phase_stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,2,1,5,5,3,14,19,22,0
